ticker_id,company_id,ticker
328,175,GAFP4
329,176,CMSA3
330,176,CMSA4
331,1071,CSCO34
332,1072,CTGP34
333,177,CLAN3
334,177,CLAN4
335,178,CMMA3
336,178,CMMA4
337,179,COAR3
338,179,COAR4
339,180,CBMA3
340,180,CBMA4
341,1073,COCA34
342,181,CEEB3
343,181,CEEB5
344,181,CEEB6
345,182,COCE3
346,182,COCE5
347,182,COCE6
348,183,FAPC4
349,184,IVIL4
350,185,CLDX4
351,1074,COLG34
352,1075,CMCS34
353,186,CGAS3
354,186,CGAS5
355,187,CPNY3
356,188,CNFB3
357,188,CNFB4
358,1076,COPH34
359,189,CALI3
360,189,CALI4
361,190,COBE3B
362,190,COBE5B
363,190,COBE6B
364,191,CTAX3
365,191,CTAX4
366,191,CTAX11
367,192,CTLU4
368,193,COPA4
369,194,CSMG3
370,195,CPLE3
371,195,CPLE5
372,1077,ELP
373,195,CPLE6
374,196,CPSL3
375,197,CORR3
376,197,CORR4
377,198,CBTA4
378,199,CSAN3
379,200,CZLT33
380,201,CSRN3
381,201,CSRN5
382,201,CSRN6
383,202,CSPC3
384,202,CSPC4
385,203,CTNM3
386,203,CTNM4
387,204,CPFE3
388,1078,CPL
389,205,CPFG3
390,205,CPFG4
391,206,CPFP3
392,206,CPFP4
393,207,CPRE3
394,208,CRDE3
395,209,CREM3
397,211,CRTP3
398,211,CRTP5
399,212,CRGT5
400,213,CZRS3
401,213,CZRS4
402,214,CARD3
403,215,CVCB3
404,216,CCPR3
405,217,CYRE3
406,217,CYRE4
407,218,CZAR4
408,219,DFVA3
409,219,DFVA4
410,220,DASA3
411,221,DSUL3
412,222,DAYC3
413,222,DAYC4
414,1079,DELL34
415,223,DVIX3
416,224,DHBI3
417,224,DHBI4
418,225,DJON3
419,225,DJON4
420,226,PNVL3
421,226,PNVL4
422,227,DNEN3B
423,228,DIRR3
424,229,DXTG3
425,229,DXTG4
426,230,IMBI3
427,230,IMBI4
428,231,DOCA3
429,231,DOCA4
430,232,DOHL3
431,232,DOHL4
432,233,DOMO3
433,234,ARPS3
434,234,ARPS4
435,1080,DOWB34
436,235,DTCY3
437,235,DTCY4
438,236,DAGB33
439,237,DUFB11
440,1081,DUPO34
441,238,DTEX3
442,239,DURA3
443,239,DURA4
444,1082,EBAY34
445,240,ECIS3
446,240,ECIS4
447,241,BCE3
448,241,BCE4
449,242,ECOR3
450,243,EDNE5
